film;year;wikipedia_url;Oscar winner;original budget;budget_original_currency;budget_original_value;budget converted to USD;outlier
Wings;1927;http://en.wikipedia.org/wiki/Wings_(1927_film);True;USD 2000000;USD;2000000;2000000.0;False
The Racket;1927;http://en.wikipedia.org/wiki/The_Racket_(1928_film);False; 0;;0;0.0;True
Seventh Heaven;1927;http://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film);False;USD 1300000;USD;1300000;1300000.0;False
The Broadway Melody;1928;http://en.wikipedia.org/wiki/The_Broadway_Melody;True; 0;;0;0.0;True
Alibi;1928;http://en.wikipedia.org/wiki/Alibi_(1929_film);False; 0;;0;0.0;True
Hollywood Revue;1928;http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929;False;USD 426000;USD;426000;426000.0;False
In Old Arizona;1928;http://en.wikipedia.org/wiki/In_Old_Arizona;False; 0;;0;0.0;True
The Patriot;1928;http://en.wikipedia.org/wiki/The_Patriot_(1928_film);False;USD 1000000;USD;1000000;1000000.0;False
All Quiet on the Western Front;1929;http://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film);True;USD 1200000;USD;1200000;1200000.0;False
The Big House;1929;http://en.wikipedia.org/wiki/The_Big_House_(1930_film);False; 0;;0;0.0;True
Disraeli;1929;http://en.wikipedia.org/wiki/Disraeli_(1929_film);False; 0;;0;0.0;True
The Divorcee;1929;http://en.wikipedia.org/wiki/The_Divorcee;False; 0;;0;0.0;True
The Love Parade;1929;http://en.wikipedia.org/wiki/The_Love_Parade;False; 0;;0;0.0;True
Cimarron;1930;http://en.wikipedia.org/wiki/Cimarron_(1931_film);True;USD 1433000;USD;1433000;1433000.0;False
East Lynne;1930;http://en.wikipedia.org/wiki/East_Lynne_(1931_film);False; 0;;0;0.0;True
The Front Page;1930;http://en.wikipedia.org/wiki/The_Front_Page_(1931_film);False; 0;;0;0.0;True
Skippy;1930;http://en.wikipedia.org/wiki/Skippy_(1931_film);False; 0;;0;0.0;True
Trader Horn;1930;http://en.wikipedia.org/wiki/Trader_Horn_(1931_film);False;USD 1300000;USD;1300000;1300000.0;False
Grand Hotel;1931;http://en.wikipedia.org/wiki/Grand_Hotel_(film);True;USD 750000;USD;750000;750000.0;False
Arrowsmith;1931;http://en.wikipedia.org/wiki/Arrowsmith_(film);False; 0;;0;0.0;True
Bad Girl;1931;http://en.wikipedia.org/wiki/Bad_Girl_(1931_film);False; 0;;0;0.0;True
The Champ;1931;http://en.wikipedia.org/wiki/The_Champ_(1931_film);False; 0;;0;0.0;True
Five Star Final;1931;http://en.wikipedia.org/wiki/Five_Star_Final;False; 0;;0;0.0;True
One Hour with You;1931;http://en.wikipedia.org/wiki/One_Hour_with_You;False; 0;;0;0.0;True
Shanghai Express;1931;http://en.wikipedia.org/wiki/Shanghai_Express_(film);False; 0;;0;0.0;True
The Smiling Lieutenant;1931;http://en.wikipedia.org/wiki/The_Smiling_Lieutenant;False; 0;;0;0.0;True
Cavalcade  [H];1932;http://en.wikipedia.org/wiki/Cavalcade_(1933_film);True;USD 1180280;USD;1180280;1180280.0;False
42nd Street;1932;http://en.wikipedia.org/wiki/42nd_Street_(film);False;USD 439000;USD;439000;439000.0;False
A Farewell to Arms [H];1932;http://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film);False;USD 900000;USD;900000;900000.0;False
I Am a Fugitive from a Chain Gang;1932;http://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang;False; 0;;0;0.0;True
Lady for a Day;1932;http://en.wikipedia.org/wiki/Lady_for_a_Day;False;USD 300000;USD;300000;300000.0;False
Little Women [H];1932;http://en.wikipedia.org/wiki/Little_Women_(1933_film);False;USD 424000;USD;424000;424000.0;False
The Private Life of Henry VIII;1932;http://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII;False;GBP 65000;GBP;65000;83850.0;False
She Done Him Wrong;1932;http://en.wikipedia.org/wiki/She_Done_Him_Wrong;False;USD 200000;USD;200000;200000.0;False
Smilin' Through;1932;http://en.wikipedia.org/wiki/Smilin%27_Through_(1932_film);False;USD 851000;USD;851000;851000.0;False
State Fair;1932;http://en.wikipedia.org/wiki/State_Fair_(1933_film);False;USD 600000;USD;600000;600000.0;False
It Happened One Night  [I];1934;http://en.wikipedia.org/wiki/It_Happened_One_Night;True;USD 325000;USD;325000;325000.0;False
The Barretts of Wimpole Street [I];1934;http://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film);False;USD 820000;USD;820000;820000.0;False
Cleopatra;1934;http://en.wikipedia.org/wiki/Cleopatra_(1934_film);False; 0;;0;0.0;True
