film;year;wikipedia_url;Oscar winner;original budget;budget converted to USD
Wings;1927 / 28 [A]  (1st);http://en.wikipedia.org/wiki/Wings_(1927_film);True;US$ 2 million [ 4 ];0.0
The Racket;1927 / 28 [A]  (1st);http://en.wikipedia.org/wiki/The_Racket_(1928_film);False;;0.0
Seventh Heaven;1927 / 28 [A]  (1st);http://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film);False;$1.3 million [ 1 ];0.0
The Broadway Melody;1928 / 29  (2nd);http://en.wikipedia.org/wiki/The_Broadway_Melody;True;;0.0
Alibi;1928 / 29  (2nd);http://en.wikipedia.org/wiki/Alibi_(1929_film);False;;0.0
Hollywood Revue;1928 / 29  (2nd);http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929;False;US$426,000 [ 2 ];0.0
In Old Arizona;1928 / 29  (2nd);http://en.wikipedia.org/wiki/In_Old_Arizona;False;;0.0
The Patriot;1928 / 29  (2nd);http://en.wikipedia.org/wiki/The_Patriot_(1928_film);False;$1 million;0.0
All Quiet on the Western Front;1929 / 30 [B]  (3rd);http://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film);True;$1.2 million [ 2 ];0.0
The Big House;1929 / 30 [B]  (3rd);http://en.wikipedia.org/wiki/The_Big_House_(1930_film);False;;0.0
Disraeli;1929 / 30 [B]  (3rd);http://en.wikipedia.org/wiki/Disraeli_(1929_film);False;;0.0
The Divorcee;1929 / 30 [B]  (3rd);http://en.wikipedia.org/wiki/The_Divorcee;False;;0.0
The Love Parade;1929 / 30 [B]  (3rd);http://en.wikipedia.org/wiki/The_Love_Parade;False;;0.0
Cimarron;1930 / 31  (4th);http://en.wikipedia.org/wiki/Cimarron_(1931_film);True;$1,433,000 [ 2 ];0.0
East Lynne;1930 / 31  (4th);http://en.wikipedia.org/wiki/East_Lynne_(1931_film);False;;0.0
The Front Page;1930 / 31  (4th);http://en.wikipedia.org/wiki/The_Front_Page_(1931_film);False;;0.0
Skippy;1930 / 31  (4th);http://en.wikipedia.org/wiki/Skippy_(1931_film);False;;0.0
Trader Horn;1930 / 31  (4th);http://en.wikipedia.org/wiki/Trader_Horn_(1931_film);False;$1.3 million [ 1 ];0.0
Grand Hotel;1931 / 32  (5th);http://en.wikipedia.org/wiki/Grand_Hotel_(film);True;$750,000 [ 1 ];0.0
Arrowsmith;1931 / 32  (5th);http://en.wikipedia.org/wiki/Arrowsmith_(film);False;;0.0
Bad Girl;1931 / 32  (5th);http://en.wikipedia.org/wiki/Bad_Girl_(1931_film);False;;0.0
The Champ;1931 / 32  (5th);http://en.wikipedia.org/wiki/The_Champ_(1931_film);False;;0.0
Five Star Final;1931 / 32  (5th);http://en.wikipedia.org/wiki/Five_Star_Final;False;;0.0
One Hour with You;1931 / 32  (5th);http://en.wikipedia.org/wiki/One_Hour_with_You;False;;0.0
Shanghai Express;1931 / 32  (5th);http://en.wikipedia.org/wiki/Shanghai_Express_(film);False;;0.0
The Smiling Lieutenant;1931 / 32  (5th);http://en.wikipedia.org/wiki/The_Smiling_Lieutenant;False;;0.0
Cavalcade  [H];1932 / 33  (6th);http://en.wikipedia.org/wiki/Cavalcade_(1933_film);True;$1,180,280;0.0
42nd Street;1932 / 33  (6th);http://en.wikipedia.org/wiki/42nd_Street_(film);False;$439,000 (est.);0.0
A Farewell to Arms [H];1932 / 33  (6th);http://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film);False;$900,000 [ 1 ];0.0
I Am a Fugitive from a Chain Gang;1932 / 33  (6th);http://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang;False;;0.0
Lady for a Day;1932 / 33  (6th);http://en.wikipedia.org/wiki/Lady_for_a_Day;False;$300,000;0.0
Little Women [H];1932 / 33  (6th);http://en.wikipedia.org/wiki/Little_Women_(1933_film);False;$424,000 [ 1 ];0.0
The Private Life of Henry VIII;1932 / 33  (6th);http://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII;False;£65,000 [ 1 ];0.0
She Done Him Wrong;1932 / 33  (6th);http://en.wikipedia.org/wiki/She_Done_Him_Wrong;False;$200,000 [ 1 ];0.0
Smilin' Through;1932 / 33  (6th);http://en.wikipedia.org/wiki/Smilin%27_Through_(1932_film);False;$851,000 [ 1 ];0.0
State Fair;1932 / 33  (6th);http://en.wikipedia.org/wiki/State_Fair_(1933_film);False;$600,000 [ 1 ];0.0
It Happened One Night  [I];1934  (7th);http://en.wikipedia.org/wiki/It_Happened_One_Night;True;$325,000 [ 2 ];0.0
The Barretts of Wimpole Street [I];1934  (7th);http://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film);False;$820,000 [ 1 ];0.0
Cleopatra;1934  (7th);http://en.wikipedia.org/wiki/Cleopatra_(1934_film);False;;0.0
Flirtation Walk;1934  (7th);http://en.wikipedia.org/wiki/Flirtation_Walk;False;;0.0
The Gay Divorcee;1934  (7th);http://en.wikipedia.org/wiki/The_Gay_Divorcee;False;$520,000 [ 1 ];0.0
Here Comes the Navy;1934  (7th);http://en.wikipedia.org/wiki/Here_Comes_the_Navy;False;;0.0
The House of Rothschild [I];1934  (7th);http://en.wikipedia.org/wiki/The_House_of_Rothschild;False;;0.0
Imitation of Life;1934  (7th);http://en.wikipedia.org/wiki/Imitation_of_Life_(1934_film);False;;0.0
One Night of Love;1934  (7th);http://en.wikipedia.org/wiki/One_Night_of_Love;False;;0.0
The Thin Man;1934  (7th);http://en.wikipedia.org/wiki/The_Thin_Man_(film);False;$226,408;0.0
Viva Villa!;1934  (7th);http://en.wikipedia.org/wiki/Viva_Villa!;False;$1,022,000 [ 1 ];0.0
The White Parade;1934  (7th);http://en.wikipedia.org/wiki/The_White_Parade;False;;0.0
Mutiny on the Bounty  [J];1935  (8th);http://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935_film);True;$1,950,000 [ 2 ];0.0
Alice Adams;1935  (8th);http://en.wikipedia.org/wiki/Alice_Adams_(film);False;$342,000 [ 2 ];0.0
Broadway Melody of 1936;1935  (8th);http://en.wikipedia.org/wiki/Broadway_Melody_of_1936;False;$1,062,000 [ 2 ];0.0
Captain Blood [J];1935  (8th);http://en.wikipedia.org/wiki/Captain_Blood_(1935_film);False;$1,000,000 (estimated);0.0
David Copperfield;1935  (8th);http://en.wikipedia.org/wiki/Personal_History,_Adventures,_Experience,_and_Observation_of_David_Copperfield_the_Younger_(1935);False;$1,073,000 [ 1 ] [ 2 ];0.0
